"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.521509292E0,-1.678973157E-4,-2.498040162E-4,9.319292307E-3,9.324151471E-3
2.531542292E0,3.210852295E-3,-1.225989246E-2,6.324348450E-3,1.416375370E-2
2.541575292E0,-9.210186917E-4,-2.608900858E-3,-5.651333928E-3,6.292234443E-3
2.551608292E0,2.652050341E-3,-4.130564500E-3,8.269717097E-3,9.616816259E-3
2.561641292E0,-5.556526808E-3,6.195553247E-3,3.778470755E-3,9.139841981E-3
2.571674292E0,2.504316783E-3,1.779602368E-3,1.500570953E-2,1.531698096E-2
2.581707292E0,-1.025889418E-2,-3.699553900E-3,1.770069122E-2,2.079052858E-2
2.591740292E0,-1.023782593E-2,5.805260738E-3,-4.004758000E-3,1.243190326E-2
2.601773292E0,2.205067249E-3,6.660823734E-4,3.928744197E-3,4.554230809E-3
2.611806292E0,1.855387308E-2,6.493674450E-3,3.928159475E-3,2.004605824E-2
2.621839292E0,1.332204946E-2,-5.524482467E-3,1.904672027E-2,2.389088657E-2
2.631872292E0,2.377212932E-3,6.032861323E-3,1.006539702E-2,1.197325245E-2
2.641906292E0,1.014416998E-2,9.797820670E-3,1.560446441E-2,2.103332556E-2
2.651939292E0,6.623241669E-3,-2.395236518E-3,9.617500305E-3,1.192060402E-2
2.661972292E0,-2.879077625E-3,-7.187938804E-3,-2.507870793E-3,8.139101187E-3
2.672005292E0,8.678565379E-3,-1.918883045E-2,1.081384063E-2,2.367420242E-2
2.682038292E0,4.661829723E-3,-5.116689425E-3,1.245983183E-2,1.425344086E-2
2.692071292E0,-6.145990100E-3,2.007901878E-4,1.335854888E-2,1.470592871E-2
2.702104292E0,-8.322360311E-3,-2.338005753E-3,-5.650749207E-3,1.032758048E-2
2.712137292E0,6.703165798E-3,-4.982139511E-3,-3.553352952E-3,9.076368383E-3
2.722170292E0,2.342248410E-3,1.752862777E-4,5.427970290E-3,5.914365085E-3
2.732203292E0,-2.311121123E-3,-2.997136563E-3,3.482601643E-3,5.143211314E-3
2.742236292E0,7.901945505E-3,4.626496324E-3,-4.749108553E-3,1.031500087E-2
2.752269292E0,2.598420409E-3,-4.673274049E-3,5.580582619E-3,7.728789124E-3
2.762302292E0,1.194377851E-2,-1.147464680E-2,1.007241368E-2,1.938491377E-2
2.772336292E0,4.061960215E-3,8.189094043E-4,2.288015485E-3,4.733407679E-3
2.782369292E0,3.310620412E-4,1.623741637E-2,9.024007916E-3,1.857945132E-2
2.792401667E0,2.246545935E-3,1.765871689E-3,7.527120709E-3,8.051261866E-3
2.802434667E0,8.456946770E-3,-6.550434697E-3,1.022268713E-2,1.479633318E-2
2.812467667E0,4.227948049E-3,1.279381063E-3,1.636050940E-2,1.694634557E-2
2.822500667E0,6.962608583E-3,6.188525168E-3,1.097288489E-2,1.439374742E-2
2.832533667E0,1.147150621E-4,-4.590569066E-3,9.325724244E-3,1.039498035E-2
2.842566667E0,-3.496817686E-4,-1.349189052E-2,-2.537691593E-4,1.349880683E-2
2.852599667E0,7.237491673E-3,3.693284132E-3,6.782185435E-3,1.058393465E-2
2.862632667E0,5.703977142E-3,2.842235598E-3,1.693353653E-3,6.594020399E-3
2.872665667E0,5.766414441E-3,-5.667886573E-3,-5.789912939E-3,9.944826070E-3
2.882698667E0,4.376238920E-3,2.853050663E-3,1.501740396E-2,1.590011908E-2
2.892731667E0,6.645397134E-3,6.189848785E-4,-7.004964352E-4,6.710822647E-3
2.902765667E0,4.231529469E-3,-2.523592038E-3,5.587014556E-3,7.449099950E-3
2.912798667E0,5.174995987E-3,2.790571108E-3,7.534137368E-3,9.556730427E-3
2.922831667E0,-2.566991625E-3,2.885395358E-4,1.202596843E-2,1.230026901E-2
2.932864667E0,-1.067829486E-2,2.561959822E-4,4.841494560E-3,1.172739046E-2
2.942897667E0,1.417949796E-4,-5.036052667E-3,4.092466235E-3,6.490779011E-3
2.952930667E0,3.222217821E-3,-9.772227681E-4,1.981095135E-2,2.009506023E-2
2.962963667E0,6.976806354E-3,-1.224463488E-2,9.183052182E-3,1.682068244E-2
2.972996667E0,3.948780047E-3,1.028999178E-3,-3.090838194E-3,5.119080377E-3
2.983029667E0,3.150945744E-3,-1.733526994E-3,2.597917914E-3,4.436524812E-3
2.993062667E0,-2.424767241E-3,6.300079079E-3,-6.233131886E-3,9.188167699E-3
